"filename", "language", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\henri.haege\.vscode\Responsive Web javascript\package-lock.json", "JSON", 0, 0, 829, 0, 0, 0, 1, 830
"c:\Users\henri.haege\.vscode\Responsive Web javascript\package.json", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.css", "CSS", 0, 180, 0, 0, 0, 0, 2, 182
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.html", "HTML", 0, 0, 0, 296, 0, 0, 3, 299
"c:\Users\henri.haege\.vscode\Responsive Web javascript\signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\henri.haege\.vscode\Responsive Web javascript\style.css", "CSS", 0, 344, 0, 0, 0, 0, 9, 353
"e:\Code\Websitecode\Responsive Web javascript\Main.html", "HTML", 0, 0, 0, -179, 0, 0, -2, -181
"e:\Code\Websitecode\Responsive Web javascript\Profile\Profile.html", "HTML", 0, 0, 0, -36, 0, -3, -2, -41
"e:\Code\Websitecode\Responsive Web javascript\Profile\profile.css", "CSS", 0, -39, 0, 0, 0, 0, -2, -41
"e:\Code\Websitecode\Responsive Web javascript\Profile\profilelogic.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"e:\Code\Websitecode\Responsive Web javascript\game.css", "CSS", 0, -78, 0, 0, 0, -4, -2, -84
"e:\Code\Websitecode\Responsive Web javascript\game.html", "HTML", 0, 0, 0, -32, 0, -7, -4, -43
"e:\Code\Websitecode\Responsive Web javascript\gamelogic.js", "JavaScript", -109, 0, 0, 0, 0, -15, -30, -154
"e:\Code\Websitecode\Responsive Web javascript\logic.js", "JavaScript", -35, 0, 0, 0, 0, -1, -11, -47
"e:\Code\Websitecode\Responsive Web javascript\login.html", "HTML", 0, 0, 0, -296, 0, 0, -3, -299
"e:\Code\Websitecode\Responsive Web javascript\loginlogic.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"e:\Code\Websitecode\Responsive Web javascript\loginstyles.css", "CSS", 0, -157, 0, 0, 0, 0, -4, -161
"e:\Code\Websitecode\Responsive Web javascript\mapgeneration.js", "JavaScript", -109, 0, 0, 0, 0, -14, -29, -152
"e:\Code\Websitecode\Responsive Web javascript\objectdata.js", "JavaScript", -33, 0, 0, 0, 0, 0, -4, -37
"e:\Code\Websitecode\Responsive Web javascript\objectlogic.js", "JavaScript", -49, 0, 0, 0, 0, -2, -9, -60
"e:\Code\Websitecode\Responsive Web javascript\style.css", "CSS", 0, -329, 0, 0, 0, 0, -9, -338
"e:\Code\Websitecode\Responsive Web javascript\test.css", "CSS", 0, -180, 0, 0, 0, 0, -2, -182
"e:\Code\Websitecode\Responsive Web javascript\test.html", "HTML", 0, 0, 0, -296, 0, 0, -3, -299
"e:\Code\Websitecode\Responsive Web javascript\testlogic.js", "JavaScript", -26, 0, 0, 0, 0, 0, -5, -31
"Total", "-", 173, 41, 880, 11, 33, 41, 64, 1243
